id_product,Region,Country,Zone,Reference proxy,Product  Line proxy,Customer Persona proxy,Strategic Product Family proxy,Product Life cycel status,Month 1,Month 2,Month 3,Month 4,Quarter,Year,Quarter_cumuled,Site_country,Site_type,Energy_Price_Index_1,Energy_Price_Index_2,Energy_Price_Index_3,Energy_Price_Index_4,Headline_Consumer_Index_1,Headline_Consumer_Index_2,Headline_Consumer_Index_3,Headline_Consumer_Index_4,GSCPI_1,GSCPI_2,GSCPI_3,GSCPI_4,"Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (annual % growth),Final consumption expenditure (annual % growth),GDP (current US$),Gross capital formation (annual % growth),Imports of goods and services (annual % growth),"Industry (including construction), value added (annual % growth)","Manufacturing, value added (annual % growth)","Services, value added (annual % growth)",unMember,netChange,rank,Customs Grouped Rank,Infrastructure Grouped Rank,International Shipments Grouped Rank,Tracking and Tracing Grouped Rank
156160,2,8,3,13523,4,3,12,2.0,0,0,0,0,2,2021,3,18,0,107.106,108.058,109.501,110.149,108.17,108.486,109.013,109.118,2.981771542518997,2.694347584998639,2.922300515380269,3.232758961683422,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,1,-0.0012,19.0,7.0,3.0,8.0,3.0
224631,0,4,2,12778,4,14,9,2.0,0,1,0,0,1,2021,2,3,0,100.8,100.9,100.9,100.9,129.344851448912,130.113998236517,129.47304258018,129.088469186377,1.3298916666437832,1.9087493402960891,2.1990721766472414,2.6829212436813266,7.07,3.297329449062545,9.08,17820459342451.2,3.87,5.515116514709105,8.67,2.7775639756821717,8.49,1,-0.0113,2.0,31.0,14.0,14.0,23.0
104047,2,28,10,3513,3,23,7,2.0,0,2,0,0,1,2021,2,18,0,103.6,105.1,106.5,112.0,109.3,109.4,109.7,110.4,1.3298916666437832,1.9087493402960891,2.1990721766472414,2.6829212436813266,6.19,2.24,7.76,3122480345924.54,13.98,6.19,9.29,10.08,7.53,1,0.0072,21.0,22.0,25.0,22.0,16.0
11823,1,0,9,672,1,11,3,2.0,0,0,0,0,1,2023,8,1,0,127.19090535436982,129.8974720516671,131.56015147953423,128.98122823597274,116.44403448648427,117.12726643437045,117.59733160946682,116.84248529155678,1.6434042079047606,1.477550030467132,1.5350606045261455,1.8562932813364403,1.6709502224251498,3.297329449062545,3.0929890277028633,7455478283421.695,4.940120198232063,5.515116514709105,2.3817318936925145,2.7775639756821717,3.5239267564512953,1,0.0083,55.0,14.0,9.0,47.0,11.0
159924,2,24,6,3496,3,14,7,2.0,0,0,0,0,1,2021,2,18,0,101.619,96.4762,102.303,106.463,104.5,103.9,104.9,106.1,1.3298916666437832,1.9087493402960891,2.1990721766472414,2.6829212436813266,2.07,14.38,5.09,1427380681294.55,5.86,13.92,4.03,8.91,5.95,1,-0.0014,32.0,20.0,19.0,8.0,11.0
149445,2,24,6,7529,4,3,9,3.0,0,0,0,0,3,2020,1,6,0,93.2684,91.5279,92.6335,95.3219,103.5,104.1,104.2,104.5,0.6156903180022034,0.1215142347882308,0.7402850309662862,1.6612596699511293,4.46,-19.94,-8.35,1276962685648.23,-13.18,-14.85,-13.14,-15.39,-11.45,1,-0.0014,32.0,20.0,19.0,8.0,11.0
25324,1,0,9,1882,1,7,4,2.0,0,0,2,0,1,2022,5,1,0,127.19090535436982,129.8974720516671,131.56015147953423,128.98122823597274,116.44403448648427,117.12726643437045,117.59733160946682,116.84248529155678,1.6434042079047606,1.477550030467132,1.5350606045261455,1.8562932813364403,23.4,-0.1,4.71,1675418665067.09,4.940120198232063,7.08,1.67,2.54,4.28,1,0.0083,55.0,14.0,9.0,47.0,11.0
168061,2,17,0,10764,4,15,12,2.0,0,0,0,0,3,2020,1,18,0,102.32,102.31,101.81,103.0,107.9,108.5,107.6,107.8,0.6156903180022034,0.1215142347882308,0.7402850309662862,1.6612596699511293,0.84,-4.33,-3.49,909793466661.47,-6.3,-4.75,-2.09,-2.26,-4.68,1,0.0017,72.0,7.0,5.0,8.0,3.0
64939,3,29,11,6848,4,4,9,3.0,0,0,0,0,3,2021,4,26,0,122.343,125.847,127.701,126.276,115.7,116.7,117.3,117.6,3.275933294383687,3.808737438270869,4.212181170581154,4.293309679380687,-19.48,6.05,7.01,23315080560000.0,6.94,14.13,3.25,6.79,6.63,1,0.0581,3.0,14.0,16.0,26.0,3.0
140385,2,8,3,6404,4,1,12,2.0,0,0,0,0,1,2022,5,4,1,122.041,126.078,144.146,141.046,110.911,111.754,113.968,114.706,3.5675415689750376,2.732736423887588,2.7507325205671096,3.41768232666367,-4.61,2.87,3.36,4072191736089.51,2.3,5.99,-0.47,0.2,2.81,1,-0.0012,19.0,7.0,3.0,8.0,3.0
