index,Year,Month,Month_cumulated,id_product,Region,Country,Site,Operations,Zone,Cluster,Reference proxy,Product  Line proxy,Division proxy,Customer Persona proxy,Strategic Product Family proxy,Product Life cycel status,Sales,Unnamed: 0,ID,population (2023),area,landAreaKm,unMember,netChange,growthRate,worldPercentage,density,densityMi,rank,LPI Grouped Rank,Customs Score,Customs Grouped Rank,Infrastructure Score,Infrastructure Grouped Rank,International Shipments Score,International Shipments Grouped Rank,Logistics Competence and Quality Score,Logistics Competence and Quality Grouped Rank,Timeliness Score,Timeliness Grouped Rank,Tracking and Tracing Score,Tracking and Tracing Grouped Rank,"Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (annual % growth),Final consumption expenditure (annual % growth),GDP (current US$),Gross capital formation (annual % growth),Imports of goods and services (annual % growth),"Industry (including construction), value added (annual % growth)","Manufacturing, value added (annual % growth)","Services, value added (annual % growth)",Energy Price Index,Headline Consumer Price Index,GSCPI,Sales.1
645874,2021,5,9,156160,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,13523,4,3,3,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,107.106,108.17,2.981771542518997,0
645874,2021,6,10,156160,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,13523,4,3,3,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,108.058,108.486,2.694347584998639,0
645874,2021,7,11,156160,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,13523,4,3,3,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,109.501,109.013,2.922300515380269,0
645874,2021,8,12,156160,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,13523,4,3,3,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,110.149,109.118,3.232758961683422,0
1119813,2022,1,17,140385,EUROPE,Germany,DE_FO_BNDch,Europe Operations,DACH,Germany,6404,4,3,1,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,-4.61,2.87,3.36,4072191736089.51,2.3,5.99,-0.47,0.2,2.81,122.041,110.911,3.5675415689750376,0
1119813,2022,2,18,140385,EUROPE,Germany,DE_FO_BNDch,Europe Operations,DACH,Germany,6404,4,3,1,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,-4.61,2.87,3.36,4072191736089.51,2.3,5.99,-0.47,0.2,2.81,126.078,111.754,2.732736423887588,0
1119813,2022,3,19,140385,EUROPE,Germany,DE_FO_BNDch,Europe Operations,DACH,Germany,6404,4,3,1,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,-4.61,2.87,3.36,4072191736089.51,2.3,5.99,-0.47,0.2,2.81,144.146,113.968,2.7507325205671096,0
1119813,2022,4,20,140385,EUROPE,Germany,DE_FO_BNDch,Europe Operations,DACH,Germany,6404,4,3,1,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,-4.61,2.87,3.36,4072191736089.51,2.3,5.99,-0.47,0.2,2.81,141.046,114.706,3.41768232666367,0
384038,2021,1,5,139181,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,6321,4,3,15,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,102.54,106.483,1.3298916666437832,0
384038,2021,2,6,139181,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,6321,4,3,15,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,104.065,107.115,1.908749340296089,0
